2020-07-24 14:49:15,734 - app.py[line:36] - WARNING: this is a logger warning message
2020-07-24 14:49:15,734 - app.py[line:37] - ERROR: this is a logger error message
2020-07-24 14:49:15,734 - app.py[line:38] - CRITICAL: this is a logger critical message
2020-07-24 14:49:15,752 - _internal.py[line:113] - WARNING:  * Debugger is active!2020-07-24 14:50:21,981 - _internal.py[line:113] - INFO:  * Restarting with stat
4-270
2020-07-24 14:49:15,772 - _internal.py[line:113] - INFO:  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-07-24 14:49:17,527 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:17] "[37mGET /del_supplier_index HTTP/1.1[0m" 200 -
2020-07-24 14:49:21,540 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:21] "[37mGET /supplier HTTP/1.1[0m" 200 -
2020-07-24 14:49:22,919 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:22] "[37mGET /add_supplier HTTP/1.1[0m" 200 -
2020-07-24 14:49:30,082 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:30] "[37mPOST /add_supplier HTTP/1.1[0m" 200 -
2020-07-24 14:49:31,153 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:31] "[37mGET /supplier HTTP/1.1[0m" 200 -
2020-07-24 14:49:32,154 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:32] "[37mGET /del_supplier_index HTTP/1.1[0m" 200 -
2020-07-24 14:49:38,124 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:38] "[37mPOST /del_supplier_index HTTP/1.1[0m" 200 -
2020-07-24 14:49:44,827 - _internal.py[line:113] - INFO: 127.0.0.1 - - [24/Jul/2020 14:49:44] "[37mPOST /del_supplier_index HTTP/1.1[0m" 200 -
2020-07-24 14:50:21,833 - _internal.py[line:113] - INFO:  * Detected change in 'D:\\go\\src\\github.com\\guosaichong\\yufan\\app.py', reloading
